100		    164		    422		    172		    167
200		    365		    969		    407		    391
300		    595		    1384		641		    629
400		    817		    2097		890		    861
500		    1088		3297		1155		1094
600		    1308		3463		1423		1346
700		    1535		3739		1685		1665
800		    1842		4242		1952		1931
900		    2083		5213		2228		2176
1000		2413		5284		2492		2482
1100		2623		6140		2820		2735
1200		2944		8256		3091		3069
1300		3146		8961		3390		3288
1400		3454		7618		3657		3600
1500		3731		9012		3943		3846
1600		4089		9212		4260		4231
1700		4349		11049		4571		4551
1800		4591		13147		4851		4824
1900		4937		11539		5198		5098
2000		5162		14297		5464		5410
2100		5534		14252		5702		5696
2200		5742		15459		6060		6018
2300		6131		15235		6435		6258
2400		6470		17951		6796		6694
2500		6596		18076		7008		6980
2600		7003		19489		7374		7323
2700		7352		22879		7859		7485
2800		7512		18485		8015		7784
2900		7784		19175		8362		8161
3000		8297		19866		8705		8450
3100		8603		21685		8880		8816
3200		8737		21550		9283		9157
3300		9242		25655		9677		9507
3400		9616		25629		10101		9826
3500		9826		24443		10221		10115
3600		10247		28998		10537		10551
3700		10413		26924		10765		10820
3800		10650		27589		11371		11173
3900		10914		30792		11593		11419
4000		11415		29129		11965		11694
4100		11569		31507		12336		12080
4200		11884		30122		12720		12159
4300		12175		33091		13046		12687
4400		12475		30559		13407		13006
4500		12980		37017		13573		13214
4600		13315		33602		13822		13384
4700		13653		34420		14345		13923
4800		13825		38533		14545		14489
4900		14035		37623		15002		14661
5000		14699		37803		15232		14702
5100		14918		37124		15622		15407
5200		15182		38371		15932		15645
5300		15392		43541		16460		15753
5400		15763		39411		16782		16462
5500		16266		42027		17184		16640
5600		16468		43772		17609		17192
5700		16654		40598		17458		17475
5800		17167		48466		18026		17423
5900		17509		49141		18265		18008
6000		17671		49017		18673		18221
6100		18048		47822		19153		18611
6200		18460		54250		19474		18973
6300		18876		50724		19518		19351
6400		19102		57929		20036		19671
6500		19226		46004		20351		20179
6600		20025		56490		20568		20431
6700		19952		50066		21150		20757
6800		20272		54664		21427		21079
6900		20645		51004		21576		21565
7000		20993		56651		22165		21958
7100		21364		60307		22625		22205
7200		21549		52828		22880		22280
7300		22151		51519		22870		22505
7400		22484		66999		23749		23341
7500		22766		61996		24130		23314
7600		23152		68109		24183		23693
7700		23347		55809		24449		24205
7800		23590		61735		25039		24586
7900		23903		65144		24980		25162
8000		24338		65353		25390		25337
8100		24681		64643		26047		25710
8200		25413		66238		26486		25817
8300		25432		69667		26597		25862
8400		25855		69871		27361		26610
8500		26201		65866		27137		27442
8600		25995		67367		27446		27403
8700		26697		69593		27870		27877
8800		27183		77302		28478		28271
8900		27764		70391		29308		28033
9000		27578		75130		29238		28776
9100		28178		77068		29683		28656
9200		28707		70436		29776		29095
9300		29002		77382		30116		29718
9400		29110		76557		30780		30073
9500		29594		75595		30853		30621
9600		29958		82045		31148		30805
9700		30335		85339		31787		30736
9800		30700		77535		32220		31789
9900		31048		82967		32271		31510
10000		31536		79006		32993		32242
10100		31937		75592		33259		32289
10200		32361		78134		33649		33229
10300		32738		75864		34353		33079
10400		32985		96805		34353		33945
10500		33442		97287		34790		33960
10600		33404		90792		34565		34681
10700		33719		85295		34970		34699
10800		34237		87316		35721		34970
10900		34323		87647		36353		35505
11000		33944		89638		36220		35527
11100		35449		98162		36423		36267
11200		35604		95770		37557		36072
11300		36225		90810		37833		37342
11400		36079		100257		37871		36974
11500		36677		96625		38312		37115
11600		36711		92680		38835		38018
11700		36980		83859		38576		38258
11800		37545		91547		39405		39090
11900		37839		95242		39874		39124
12000		38512		96334		40217		39678
12100		38802		109154		39800		39922
12200		38420		103126		41041		40232
12300		39111		88814		41248		40927
12400		40147		95025		41717		40887
12500		39608		114386		41702		41489
12600		40327		108368		42618		42043
12700		40219		112597		42501		42090
12800		40771		107810		43201		42375
12900		41140		107063		43475		42969
13000		42145		104882		44223		42834
13100		42018		111222		44227		43416
13200		42805		113919		44530		44061
13300		43235		114081		45109		44182
13400		43757		117221		45297		44546
13500		43115		120395		44963		45243
13600		43585		114904		46095		45779
13700		44298		121068		46812		45264
13800		45075		123933		47318		45211
13900		45025		114782		46504		46876
14000		45621		119306		47404		46716
14100		45633		129219		47641		46962
14200		45462		135938		47812		47223
14300		46458		121377		48705		48382
14400		47004		130396		49099		48003
14500		47251		132743		49586		48590
14600		47491		119723		49355		48908
14700		48523		118941		50277		49648
14800		48319		121398		50716		49269
14900		48594		127558		50685		49719
15000		49288		137606		51507		50788
15100		49967		126815		51576		50742
15200		50032		146200		51957		51177
15300		50085		149657		52346		52077
15400		50354		129021		52744		51822
15500		49897		158408		52128		52444
15600		51518		124338		53650		52643
15700		51507		133954		53577		53186
15800		52047		136159		54522		53795
15900		52423		131634		54367		53000
16000		52741		145501		55064		54212
16100		52836		128150		56110		54114
16200		53589		138405		55833		54707
16300		53181		134709		55377		54619
16400		54462		130112		56453		56326
16500		54487		145374		56861		55072
16600		55192		167523		56290		55913
16700		55011		140177		56958		56931
16800		56008		154782		57066		56795
16900		56564		140232		57829		56817
17000		56151		165381		58622		58088
17100		56625		145118		60062		58546
17200		57496		139536		59568		58297
17300		57304		137245		60522		59240
17400		58191		153903		60462		59565
17500		58318		169683		60828		59529
17600		57831		158159		60157		60415
17700		59300		142912		61637		59677
17800		59581		150064		60863		61252
17900		59283		150566		62220		61549
18000		59925		165185		61926		62384
18100		60488		157526		62725		62579
18200		61016		153959		63452		63091
18300		60931		153417		64330		62998
18400		60869		158527		64995		63183
18500		61871		165614		64657		64020
18600		62166		167276		65688		64175
18700		63090		170958		65637		64443
18800		63702		164502		65042		64899
18900		63390		169815		66257		64397
19000		63384		175880		67172		64865
19100		64248		163065		66501		65057
19200		64371		173199		67168		66047
19300		65227		159661		66974		66473
19400		64531		157899		67666		66899
19500		65463		158948		67690		67393
19600		65744		166917		68281		67395
19700		66512		196334		68669		68523
19800		66642		177616		69786		68158
19900		67550		160374		70243		69046
20000		66652		170018		69618		68221
20100		67709		210018		70595		69103
20200		68077		183240		70331		70304
20300		67693		172540		71913		69580
20400		69061		178007		71599		71096
20500		69055		187579		72063		71097
